School Name,Network,DO2010,DO2011,DO2012
ACE TECHNICAL CHARTER HS,Charter/Contract Schools,7.1,7.6,7.3
AIR FORCE HS,Southwest Side High School Network,4.9,5.0,0.7
ALCOTT HS,North-Northwest Side High School Network,0.0,4.8,1.8
AMUNDSEN HS,North-Northwest Side High School Network,9.1,6.9,6.0
ASPIRA CHTR - EARLY COLLEGE HS,Charter/Contract Schools,4.7,4.3,4.8
ASPIRA CHTR - RAMIREZ HS,Charter/Contract Schools,6.4,7.6,4.8
AUSTIN BUS & ENTRP HS,West Side High School Network,14.7,13.8,6.9
AUSTIN POLY HS,West Side High School Network,6.0,1.1,18.5
BANNER ACADEMY SOUTH HS,Alternative Schools,,,52.6
BANNER ACADEMY WEST HS,Alternative Schools,,,52.4
BANNER NORTH HS,Alternative Schools,,,45.7
BOGAN HS,Southwest Side High School Network,9.8,12.6,0.3
BOWEN HS,South Side High School Network,5.8,4.1,0.2
BRONZEVILLE HS,South Side High School Network,2.4,2.6,4.1
BROOKS HS,Far South Side High School Network,1.7,1.8,0.9
CARVER MILITARY,Far South Side High School Network,2.7,0.2,0.4
CHGO ACAD HS,AUSL Schools,4.5,5.5,4.0
CHGO AGR HS,Far South Side High School Network,1.7,5.3,2.1
CHGO ARTS CONTR HS,Charter/Contract Schools,0.0,2.6,2.9
CHGO MATH & SCI ACAD CAMPUS HS,Charter/Contract Schools,3.5,3.2,3.6
CHGO MILITARY ACAD HS,South Side High School Network,2.4,5.1,9.1
CHGO TALENT CHTR HS,Charter/Contract Schools,3.3,8.5,3.9
CHICAGO AA HS,South Side High School Network,21.3,11.5,18.4
CHICAGO TECH ACADEMY,Charter/Contract Schools,3.8,8.1,6.2
CHICAGO VIRTUAL CHTR CAMPUS HS,Charter/Contract Schools,16.9,13.6,25.0
CHICAGO VOCATIONAL HS,South Side High School Network,11.2,6.8,3.2
CICS - HAWKINS,Charter/Contract Schools,,8.8,16.6
CICS-ELLISON,Charter/Contract Schools,9.3,2.2,6.2
CICS-LONGWOOD,Charter/Contract Schools,6.5,4.7,4.1
